Neighborhood,Counts,Pop. 2010,Count/Person
Chateau,695,11,63.18
South Shore,702,19,36.95
Strip District,"2,835",616,4.60
West End,"1,125",254,4.43
North Shore,"1,093",303,3.61
South Side Slopes,"11,973","4,423",2.71
St. Clair,523,209,2.50
Mt. Oliver,"1,231",509,2.42
Esplen,725,301,2.41
East Allegheny,"5,117","2,136",2.40
Central Business District,"8,261","3,629",2.28
Elliott,"5,208","2,381",2.19
Middle Hill,"3,613","1,707",2.12
Spring Garden,"1,844",884,2.09
Larimer,"3,494","1,728",2.02
Polish Hill,"2,528","1,274",1.98
Homewood South,"4,284","2,344",1.83
Hays,654,362,1.81
Homewood West,"1,477",818,1.81
Beltzhoover,"3,453","1,925",1.79
Lower Lawrenceville,"4,010","2,341",1.71
South Side Flats,"11,274","6,597",1.71
Allentown,"4,243","2,500",1.70
Allegheny West,769,462,1.66
Hazelwood,"7,138","4,317",1.65
Upper Hill,"3,354","2,057",1.63
California-Kirkbride,"1,232",761,1.62
Central Lawrenceville,"7,234","4,482",1.61
Garfield,"5,911","3,675",1.61
Knoxville,"5,821","3,747",1.55
Arlington,"2,819","1,869",1.51
Bon Air,"1,205",808,1.49
Homewood North,"4,886","3,280",1.49
Allegheny Center,"1,369",933,1.47
Central Northside,"4,278","2,923",1.46
Fineview,"1,867","1,285",1.45
Overbrook,"5,287","3,644",1.45
South Oakland,"4,307","2,969",1.45
Carrick,"14,549","10,113",1.44
Troy Hill,"3,762","2,714",1.39
Manchester,"2,910","2,130",1.37
Perry North,"5,292","4,050",1.31
Lincoln-Lemington-Belmar,"6,206","4,883",1.27
Lincoln Place,"4,028","3,227",1.25
Upper Lawrenceville,"3,240","2,669",1.21
Sheraden,"6,359","5,299",1.20
East Liberty,"6,979","5,869",1.19
Beechview,"9,389","7,974",1.18
Regent Square,"1,093",928,1.18
Bloomfield,"9,903","8,442",1.17
Brookline,"15,446","13,214",1.17
Perry South,"4,852","4,145",1.17
Stanton Heights,"5,366","4,601",1.17
Morningside,"3,893","3,346",1.16
Duquesne Heights,"2,681","2,425",1.11
Mount Washington,"9,786","8,799",1.11
Crawford-Roberts,"2,463","2,256",1.09
Point Breeze North,"2,174","2,054",1.06
Greenfield,"7,638","7,294",1.05
Summer Hill,"1,100","1,051",1.05
East Hills,"3,260","3,169",1.03
Chartiers City,459,477,0.96
Marshall-Shadeland,"5,738","6,043",0.95
Spring Hill-City View,"2,484","2,648",0.94
Windgap,"1,279","1,369",0.93
Ridgemont,443,483,0.92
Crafton Heights,"3,302","3,814",0.87
Swisshelm Park,"1,151","1,361",0.85
Highland Park,"5,346","6,395",0.84
New Homestead,828,990,0.84
Point Breeze,"4,469","5,315",0.84
Brighton Heights,"5,932","7,247",0.82
Squirrel Hill South,"12,370","15,110",0.82
Friendship,"1,382","1,785",0.77
Central Oakland,"4,543","6,086",0.75
Bedford Dwellings,867,"1,202",0.72
Oakwood,735,"1,027",0.72
West Oakland,"1,886","2,604",0.72
Banksville,"2,797","4,144",0.67
Fairywood,671,"1,002",0.67
Westwood,"1,985","3,066",0.65
East Carnegie,358,570,0.63
Shadyside,"7,867","13,915",0.57
Squirrel Hill North,"6,096","11,363",0.54
Terrace Village,"1,115","3,228",0.35
Bluff,"2,252","6,600",0.34
North Oakland,"3,608","10,551",0.34
Arlington Heights,79,244,0.32
Glen Hazel,224,716,0.31
Northview Heights,356,"1,214",0.29
